Ticker,Company_name,Industry
HINDALCO.NS,HINDALCO,ALUMINIUM
BAJAJ-AUTO.NS,BAJAJ AUTO,AUTOMOBILES
EICHERMOT.NS,EICHER MOTORS,AUTOMOBILES
HEROMOTOCO.NS,HERO MOTOCORP,AUTOMOBILES
M&M.NS,M&M,AUTOMOBILES
MARUTI.NS,MARUTI SUZUKI,AUTOMOBILES
TATAMOTORS.NS,TATA MOTORS,AUTOMOBILES
HDFCBANK.NS,HDFC BANK,BANKING
ICICIBANK.NS,ICICI BANK,BANKING
INDUSINDBK.NS,INDUSIND BANK,BANKING
KOTAKBANK.NS,KOTAK MAHINDRA BANK,BANKING
SBIN.NS,SBI,BANKING
AXISBANK.NS,AXIS BANK,BANKING
ULTRACEMCO.NS,ULTRATECH CEMENT,CEMENT
BEL.NS,BHARAT ELECTRONICS,DEFENCE
BPCL.NS,BPCL,ENERGY
IOC.NS,IOC,ENERGY
ONGC.NS,ONGC,ENERGY
RELIANCE.NS,RELIANCE IND.,ENERGY
LT.NS,L&T,ENGINEERING
BAJAJFINSV.NS,BAJAJ FINSERV,FINANCE
BAJFINANCE.NS,BAJAJ FINANCE,FINANCE
SHRIRAMFIN.NS,SHRIRAM FINANCE,FINANCE
HINDUNILVR.NS,HINDUSTAN UNILEVER,FMCG
TATACONSUM.NS,TATA CONSUMER,FMCG
ITC.NS,ITC,FOOD & TOBACCO
NESTLEIND.NS,NESTLE,FOOD & TOBACCO
HDFCLIFE.NS,HDFC LIFE INSURANCE,INSURANCE
SBILIFE.NS,SBI LIFE INSURANCE,INSURANCE
COALINDIA.NS,COAL INDIA,MINING
ADANIENT.NS,ADANI ENTERPRISES,MISCELLANEOUS
APOLLOHOSP.NS,APOLLO HOSPITALS,MISCELLANEOUS
ADANIPORTS.NS,ADANI PORTS & SEZ,MISCELLANEOUS
ASIANPAINT.NS,ASIAN PAINTS,PAINTS
CIPLA.NS,CIPLA,PHARMACEUTICALS
DRREDDY.NS,DR. REDDYS LAB,PHARMACEUTICALS
SUNPHARMA.NS,SUN PHARMA,PHARMACEUTICALS
NTPC.NS,NTPC,POWER
POWERGRID.NS,POWER GRID,POWER
TITAN.NS,TITAN,RETAILING
TRENT.NS,TRENT,RETAILING
HCLTECH.NS,HCL TECHNOLOGIES,SOFTWARE
INFY.NS,INFOSYS,SOFTWARE
TCS.NS,TCS,SOFTWARE
TECHM.NS,TECH MAHINDRA,SOFTWARE
WIPRO.NS,WIPRO,SOFTWARE
JSWSTEEL.NS,JSW STEEL,STEEL
TATASTEEL.NS,TATA STEEL,STEEL
BHARTIARTL.NS,BHARTI AIRTEL,TELECOM
GRASIM.NS,GRASIM,TEXTILES
