Ticker,Company_name,Industry
4151.T,KYOWA KIRIN CO.. LTD.,Pharmaceuticals
4502.T,TAKEDA PHARMACEUTICAL CO.. LTD.,Pharmaceuticals
4503.T,ASTELLAS PHARMA INC.,Pharmaceuticals
4506.T,SUMITOMO PHARMA CO.. LTD.,Pharmaceuticals
4507.T,SHIONOGI & CO.. LTD.,Pharmaceuticals
4519.T,CHUGAI PHARMACEUTICAL CO.. LTD.,Pharmaceuticals
4523.T,EISAI CO.. LTD.,Pharmaceuticals
4568.T,DAIICHI SANKYO CO.. LTD.,Pharmaceuticals
4578.T,OTSUKA HOLDINGS CO.. LTD.,Pharmaceuticals
6479.T,MINEBEA MITSUMI INC.,Electric Machinery
6501.T,HITACHI. LTD.,Electric Machinery
6503.T,MITSUBISHI ELECTRIC CORP.,Electric Machinery
6504.T,FUJI ELECTRIC CO.. LTD.,Electric Machinery
6506.T,YASKAWA ELECTRIC CORP.,Electric Machinery
6526.T,SOCIONEXT INC.,Electric Machinery
6594.T,NIDEC CORP.,Electric Machinery
6645.T,OMRON CORP.,Electric Machinery
6674.T,GS YUASA CORP.,Electric Machinery
6701.T,NEC CORP.,Electric Machinery
6702.T,FUJITSU LTD.,Electric Machinery
6723.T,RENESAS ELECTRONICS CORP.,Electric Machinery
6724.T,SEIKO EPSON CORP.,Electric Machinery
6752.T,PANASONIC HOLDINGS CORP.,Electric Machinery
6753.T,SHARP CORP.,Electric Machinery
6758.T,SONY GROUP CORP.,Electric Machinery
6762.T,TDK CORP.,Electric Machinery
6770.T,ALPS ALPINE CO.. LTD.,Electric Machinery
6841.T,YOKOGAWA ELECTRIC CORP.,Electric Machinery
6857.T,ADVANTEST CORP.,Electric Machinery
6861.T,KEYENCE CORP.,Electric Machinery
6902.T,DENSO CORP.,Electric Machinery
6920.T,LASERTEC CORP.,Electric Machinery
6952.T,CASIO COMPUTER CO.. LTD.,Electric Machinery
6954.T,FANUC CORP.,Electric Machinery
6971.T,KYOCERA CORP.,Electric Machinery
6976.T,TAIYO YUDEN CO.. LTD.,Electric Machinery
6981.T,MURATA MANUFACTURING CO.. LTD.,Electric Machinery
7735.T,SCREEN HOLDINGS CO.. LTD.,Electric Machinery
7751.T,CANON INC.,Electric Machinery
7752.T,RICOH CO.. LTD.,Electric Machinery
8035.T,TOKYO ELECTRON LTD.,Electric Machinery
7201.T,NISSAN MOTOR CO.. LTD.,Automobiles & Auto parts
7202.T,ISUZU MOTORS LTD.,Automobiles & Auto parts
7203.T,TOYOTA MOTOR CORP.,Automobiles & Auto parts
7205.T,HINO MOTORS. LTD.,Automobiles & Auto parts
7211.T,MITSUBISHI MOTORS CORP.,Automobiles & Auto parts
7261.T,MAZDA MOTOR CORP.,Automobiles & Auto parts
7267.T,HONDA MOTOR CO.. LTD.,Automobiles & Auto parts
7269.T,SUZUKI MOTOR CORP.,Automobiles & Auto parts
7270.T,SUBARU CORP.,Automobiles & Auto parts
7272.T,YAMAHA MOTOR CO.. LTD.,Automobiles & Auto parts
4543.T,TERUMO CORP.,Precision Instruments
4902.T,KONICA MINOLTA. INC.,Precision Instruments
6146.T,DISCO CORP.,Precision Instruments
7731.T,NIKON CORP.,Precision Instruments
7733.T,OLYMPUS CORP.,Precision Instruments
7741.T,HOYA CORP.,Precision Instruments
7762.T,CITIZEN WATCH CO.. LTD.,Precision Instruments
9432.T,NIPPON TELEGRAPH & TELEPHONE CORP.,Communications
9433.T,KDDI CORP.,Communications
9434.T,SOFTBANK CORP.,Communications
9613.T,NTT DATA GROUP CORP.,Communications
9984.T,SOFTBANK GROUP CORP.,Communications
5831.T,SHIZUOKA FINANCIAL GROUP. INC.,Banking
7186.T,CONCORDIA FINANCIAL GROUP. LTD.,Banking
8304.T,AOZORA BANK. LTD.,Banking
8306.T,MITSUBISHI UFJ FINANCIAL GROUP. INC.,Banking
8308.T,RESONA HOLDINGS. INC.,Banking
8309.T,SUMITOMO MITSUI TRUST GROUP. INC.,Banking
8316.T,SUMITOMO MITSUI FINANCIAL GROUP. INC.,Banking
8331.T,THE CHIBA BANK. LTD.,Banking
8354.T,FUKUOKA FINANCIAL GROUP. INC.,Banking
8411.T,MIZUHO FINANCIAL GROUP. INC.,Banking
8253.T,CREDIT SAISON CO.. LTD.,Other Financial Services
8591.T,ORIX CORP.,Other Financial Services
8697.T,JAPAN EXCHANGE GROUP. INC.,Other Financial Services
8601.T,DAIWA SECURITIES GROUP INC.,Securities
8604.T,NOMURA HOLDINGS. INC.,Securities
8630.T,SOMPO HOLDINGS. INC.,Insurance
8725.T,MS&AD INSURANCE GROUP HOLDINGS. INC.,Insurance
